,Code,Name,Country,Exchange,Currency,Type,Isin,F-Score,PEG-Ratio,Industry,Sector,Price to Book,Market Cap,50 Day Av,200 Day Av,Profit Margin,Gross Margin
136,MGNZ.ME,Open joint stock company Solikamsk magnesium works,Russia,MCX,RUB,Common Stock,RU0009100911,5,,Other Industrial Metals & Mining,Basic Materials,1.1157672,3879169280,9952.857,9588.592,0.02661,0.15479
137,MGTS.ME,Public Joint Stock Company Moscow City Telephone Network,Russia,MCX,RUB,Common Stock,RU0009036461,6,,Telecom Services,Communication Services,1.9589467,186348077056,2082.2856,2206.5845,0.31391,0.75516
138,MGTSP.ME,Public Joint Stock Company Moscow City Telephone Network,Russia,MCX,RUB,Common Stock,,6,,Telecom Services,Communication Services,1.3413805,187953119232,1391.1428,1677.5493,0.31391,0.75516
139,MISB.ME,Public Joint-stock Company TNS energo Mari El,Russia,MCX,RUB,Common Stock,RU000A0D8K33,6,,Utilities—Regulated Electric,Utilities,3.7746172,1798264192,13.725715,13.675352,0.01661,0.49069
140,MISBP.ME,Public Joint-stock Company TNS energo Mari El RUB0.1 PRF(RUB),Russia,MCX,RUB,Common Stock,,,,,,,1315958400,10.662857,11.361972,,
141,MOEX.ME,Public Joint-Stock Company Moscow Exchange MICEX-RTS,Russia,MCX,RUB,Common Stock,RU000A0JR4A1,,,Financial Data & Stock Exchanges,Financial Services,3.0181365,420073013248,176.734,173.65465,0.4977,1
150,MOEXMM.ME,MOEX Metals and Mining,Russia,MCX,RUB,Common Stock,,,,,,,,,,,
151,MOEXOG.ME,MOEX Oil and Gas,Russia,MCX,RUB,Common Stock,,,,,,,,,,,
154,MRKC.ME,Interregional Distribution Grid Company of Centre Public Joint Stock Company,Russia,MCX,RUB,Common Stock,RU000A0JPPL8,7,,Utilities—Regulated Electric,Utilities,0.36849687,17284005888,0.38896,0.3956169,0.040170003,0.12416001
155,MRKK.ME,"Public Joint Stock Company ""ROSSETI Northern Caucasus""",Russia,MCX,RUB,Common Stock,RU000A0JPPQ7,4,,Utilities—Regulated Electric,Utilities,,27483334656,27.154858,26.905916,-0.41107,-0.16
156,MRKP.ME,Interregional Distribution Grid Company of Center and Volga Region Public Joint Stock Company,Russia,MCX,RUB,Common Stock,RU000A0JPN96,6,,Utilities—Regulated Electric,Utilities,0.4540171,29932589056,0.24578285,0.25753945,0.0653,0.12619
157,MRKS.ME,Public Joint Stock Company Interregional Distribution Grid Company of Siberia,Russia,MCX,RUB,Common Stock,RU000A0JPPF0,2,,Utilities—Regulated Electric,Utilities,1.7032968,29392711680,0.3006,0.32062325,-0.00307,0.04614
158,MRKU.ME,Interregional Distribution Grid Company of Urals Joint Stock Company,Russia,MCX,RUB,Common Stock,RU000A0JPPT1,5,,Utilities—Regulated Electric,Utilities,0.29677418,14478490624,0.14835429,0.1506,0.011460001,0.048
159,MRKV.ME,Public Joint Stock Company Rosseti Volga,Russia,MCX,RUB,Common Stock,RU000A0JPPN4,2,,Utilities—Regulated Electric,Utilities,0.2777778,10827710464,0.055081427,0.060954224,-0.0112,0.35579
160,MRKY.ME,"Public Joint Stock Company ""ROSSETI South""",Russia,MCX,RUB,Common Stock,RU000A0JPPG8,4,,Utilities—Regulated Electric,Utilities,2.4473686,7051306496,0.04536,0.046023592,-0.0296,0.02244
161,MRKZ.ME,Public Joint-Stock Company Interregional Distribution Grid Company of the North-West,Russia,MCX,RUB,Common Stock,RU000A0JPPB9,5,,Utilities—Regulated Electric,Utilities,0.26092234,5148492288,0.049777143,0.051276762,-0.0212,0.03516
162,MRSB.ME,Mordovia Energy Retail Company Public Joint-Stock Company,Russia,MCX,RUB,Common Stock,RU000A0D9AJ7,,,Utilities—Regulated Electric,Utilities,2.9662163,590472576,0.42582858,0.4229507,0.01629,0.46681
